review_id,priority_score,folio,locus,locus_kind,prefix_family,suffixes_present,axis_coverage,group_tokens,matched_annotation_tokens,missing_group_tokens,exact_glyph_status,image_files,ink_colors,visual_zones,ring,sector,radius,object_nearby,annotation_confidence,review_next_action,review_notes
R6-001,59,f67r1,"f67r1.6,+Cc",C,d,al ar ol,ao+rl,dal dar dol,dal dar,dol,needs_exact_glyph_isolation,images/raw/commons_f67r1_r2.jpg,brown,circular text,outer/annular text around left-page diagram,,,central face with red/blue rays and surrounding stars,medium,"locate missing group tokens in image, then crop/zoom all matched tokens",additional exact token in same circular layer; exact glyph position not isolated
R6-002,56,f67r1,"f67r1.5,@Cc",C,standalone,ar ol,ao+rl,ar ol,ar ol,,needs_exact_glyph_isolation,images/raw/commons_f67r1_r2.jpg,brown,circular text,outer/annular text around left-page diagram,,,central face with red/blue rays and surrounding stars,medium,crop/zoom image and isolate exact glyph positions,standalone matrix value in circular text layer; exact word position not isolated at glyph level | standalone value in circular layer; exact word position not isolated
R6-003,56,f84r,"f84r.14,+P0",P,standalone,ol or,rl,ol or,ol or,,needs_exact_glyph_isolation,images/raw/commons_f84r.jpg,brown,paragraph text,body paragraph near upper green pool,,,green pool with nymph figures and dense text,medium,crop/zoom image and isolate exact glyph positions,full image checked; paragraph line belongs to balneological page; exact glyph position not isolated
R6-004,52,f67r1,"f67r1.6,+Cc",C,standalone,al ar,rl,al ar,al ar,,needs_exact_glyph_isolation,images/raw/commons_f67r1_r2.jpg,brown,circular text,outer/annular text around left-page diagram,,,central face with red/blue rays and surrounding stars,medium,crop/zoom image and isolate exact glyph positions,additional standalone value in same circular layer; exact glyph position not isolated | standalone matrix value in circular text layer; exact word position not isolated at glyph level
R6-005,49,f67r1,"f67r1.6,+Cc",C,ch,ar ol or,ao+rl,chedar cheol cheor chol,chol,chedar cheol cheor,needs_exact_glyph_isolation,images/raw/commons_f67r1_r2.jpg,brown,circular text,outer/annular text around left-page diagram,,,central face with red/blue rays and surrounding stars,medium,"locate missing group tokens in image, then crop/zoom all matched tokens",additional exact token in same circular layer; exact glyph position not isolated
R6-006,49,f68r3,"f68r3.1,@Cc",C,ch,al ol or,ao+rl,cheor chodal chokol chol,chol,cheor chodal chokol,needs_exact_glyph_isolation,images/raw/commons_f68r1_r2_r3.jpg,brown,circular text,annular/circular text,,,central face medallion and dense star groups,medium,"locate missing group tokens in image, then crop/zoom all matched tokens",additional exact token in circular layer; exact glyph position not isolated
R6-007,49,f70v2,"f70v2.1,@Cc",C,ch,al ar ol,ao+rl,chokear chol cholkal,chol,chokear cholkal,needs_exact_glyph_isolation,images/raw/commons_f70v2.jpg,brown,circular text,zodiac ring / circular band,inner/outer text band,,zodiac nymph figures and stars,medium,"locate missing group tokens in image, then crop/zoom all matched tokens",additional exact token in circular zodiac text; exact glyph position not isolated
R6-008,49,f70v2,"f70v2.32,@Cc",C,standalone,al ar,rl,al ar,ar,al,needs_exact_glyph_isolation,images/raw/commons_f70v2.jpg,brown,circular text,zodiac ring / circular band,inner/outer text band,,zodiac nymph figures and stars,medium,"locate missing group tokens in image, then crop/zoom all matched tokens",standalone value in circular zodiac text; exact word not isolated at glyph level
R6-009,35,f67r1,"f67r1.5,@Cc",C,ot,ar or,ao,otardar otor,otor,otardar,needs_exact_glyph_isolation,images/raw/commons_f67r1_r2.jpg,brown,circular text,outer/annular text around left-page diagram,,,central face with red/blue rays and surrounding stars,medium,"locate missing group tokens in image, then crop/zoom all matched tokens",same visible circular-text system as f67r1 C candidates; exact word position not isolated
R6-010,35,f70v2,"f70v2.21,@Cc",C,ot,ar or,ao,otar oteedar oteeeor,otar,oteedar oteeeor,needs_exact_glyph_isolation,images/raw/commons_f70v2.jpg,brown,circular text,zodiac ring / circular band,outer/figure ring,,zodiac nymph figures and stars,medium,"locate missing group tokens in image, then crop/zoom all matched tokens","high-quality folio checked; circular zodiac text layer visible, exact word not isolated at glyph level"
R6-011,35,f84r,"f84r.23,+P0",P,standalone,ol or,rl,ol or,or,ol,needs_exact_glyph_isolation,images/raw/commons_f84r.jpg,brown,paragraph text,body paragraph between green pool bands,,,green pool with nymph figures and dense text,medium,"locate missing group tokens in image, then crop/zoom all matched tokens",full image checked; paragraph line belongs to balneological page; exact glyph position not isolated
