thesis_id,thesis_name,proponent,predicted_signals,discriminating_signal,signal_class,beats_generator,refuted_by_instrument,mapped_routes,corpus_result,controls_applied,verdict,external_residual,semantic_guardrail
1,Direct natural language,classic,char_h2~2.5-3.6;midrange_MI>0;order_gain~12-25%;adjacent_repeat<0.25%,midrange_MI,contradicted_by_corpus,False,True,"R58,R59,R60,R62","h2=2.15 below natural; MI floor at d~15, no midrange; order_gain 1-3%","char_h2,line_position,second_compressor",refuted,none,rota66_external_thesis_attack_not_decipherment
2,Simple substitution / lost alphabet,classic,char_h2~source(2.5-3.6);midrange_MI>0;order_gain~12-25%,char_h2,contradicted_by_corpus,False,True,"R58,R59,R60",bijection preserves source entropy; h2=2.15 below any natural source,"char_h2,second_compressor",refuted,none,rota66_external_thesis_attack_not_decipherment
3,Homophonic / verbose cipher,classic expansion,char_h2 low(ok);adjacent_repeat up(ok);recoverable sub-token syntax revives on re-segmentation in BOTH compressors,bpe_resegment_gain,contradicted_by_corpus,False,True,"R61,R60",lzma diff 0.035 collapses to bz2 0.005 = lzma_artifact; no recoverable sub-token syntax,"second_compressor,prefix_suffix",refuted,"signature-free verbose cipher leaves no statistical trace -> external_only, no positive support",rota66_external_thesis_attack_not_decipherment
4,Cardan grille / Rugg / Zandbergen,Rugg 2004 (Cardano 1550s),exactly the R62 13-signature panel (mechanical table/grille output),none,reproduced_by_generator,False,False,R62,reproduces 13/14 by construction; predicts no per-token laafu table,comparison_vs_R62,unsupported,period-intent anachronistic (Cardano grille 1550s post-dates vellum 1404-1438); a table/grille artifact or workshop record would be external evidence,rota66_external_thesis_attack_not_decipherment
5,Naibbe cipher,Greshko 2024,char_h2 low(ok);nulls->adjacent_repeat(ok);recoverable plaintext order once multi-glyph groups undone,bpe_resegment_gain,contradicted_by_corpus,False,True,"R61,R60",BPE re-grouping does NOT revive order beyond structure-matched controls (bz2 collapse),second_compressor,refuted,modern reconstruction; period attestation or worked sibling text is external_only,rota66_external_thesis_attack_not_decipherment
6,Self-citation / Timm-Schinner,Timm & Schinner 2019,adjacent_repeat~0.875%(ok);short-range MI only;floor by d~15(ok),none,reproduced_by_generator,False,False,"R62,R58",IS generator mechanism #3 (self_citation p_rep=0.0046); ablation reproduces 0.875%,comparison_vs_R62,unsupported,none,rota66_external_thesis_attack_not_decipherment
7,Topic modeling,Bowern/Sterneck/Polish,"topical_word_MI>0(ok, I_norm=0.046);if real-language: referential coupling",topical_word_MI,reproduced_by_generator,False,False,"R56,R57,R62","topical signal real but reproduced by generator section_cond table; R57 shows it is prose-register, NON-referential","folio_block,Currier,within_folio",survives_weakly,real-language identity claim (e.g. Polish) and referential reading (R57 refutes) -> external_only,rota66_external_thesis_attack_not_decipherment
8,Currier A/B as scribe/dialect/mode,Currier 1976,currier_ao V high~0.45(ok);a/o tracks scribe>section(ok),currier_ao,confirmed_structure_absorbed,False,False,"R45,R47","V(Currier x a/o)=0.45 confirmed, Currier(0.44)>section(0.25); real axis, absorbable as a generator mode/section switch","Currier,section",survives_weakly,"hand-vs-dialect-vs-mode NATURE resolvable only by external hand/ink paleography (ductus, ink, quire mapping)",rota66_external_thesis_attack_not_decipherment
9,"Parisel: positional restrictions, directional layers, Currier switch",Parisel,"laafu_I HIGH (token<->line-position binding, real 0.471);radial_paragraph_register(ok);Currier as switch(ok)",laafu_I,resists_generator,True,False,"R62,R65a,R47",laafu_I=0.471 real > gen 0.303 (delta~0.168) = the ONE signature beyond the content-free generator; radial!=paragraph V_within=0.217 p=0.0005,"line_position,within_folio,Currier",actionable,switch-NATURE external_only; per R62/R65a the residual likely reduces to a richer content-free layout rule (locus_kind = register selector),rota66_external_thesis_attack_not_decipherment
10,Labels as names of drawn objects,nomenclator,label_object_coupling present; same object type -> consistent label structure across folios,label_object_coupling,contradicted_by_corpus,False,True,"R57,R63,R64,R65b",decoupled (powered n=171 + refined n=108); same nymph -> folio-local labels f71r vs f73r divergence p=0.011; only correlate = vessel-vs-organ LENGTH (structure),"within_folio,section,locus_type",refuted,none,rota66_external_thesis_attack_not_decipherment
11,Constructed language / technical notation,philosophical-language tradition,"full morphologically-rich / syntactically-thin profile (templatic operators, free variation, lexically-fixed nucleus)",none,reproduced_by_generator,False,False,"R49,R55,R65a,R62","fits the whole profile; R62: designed-system vs generator are DEGENERATE at the token scale, indistinguishable by corpus statistics",comparison_vs_R62,external_only,"only a key/crib, sibling text, or provenance separates designed-with-meaning from content-free; this is the ~22% prior corpus statistics provably cannot touch",rota66_external_thesis_attack_not_decipherment
12,Local generator without content,the R62 model,R62 13-signature panel(ok); laafu_I~0.303 UNDER-shoots real 0.471,laafu_I,is_the_generator,False,False,R62,"IS the baseline; reproduces 13/14, fails only laafu_I; proves meaning NOT NECESSARY (existence proof, not meaninglessness)",comparison_vs_R62,survives_weakly,none,rota66_external_thesis_attack_not_decipherment
13,Point decipherments (Turkish/Hebrew/proto-Romance/Latin...),Cheshire/Bax/Gibbs etc,a SPECIFIC natural language: char_h2 natural;midrange_MI>0;order_gain~12-25%;reproducing grammar,char_h2,contradicted_by_corpus,False,True,"R58,R59,R60","h2=2.15; no midrange MI; each 'solution' decodes a handful of cherry-picked tokens, no corpus-wide reproducing grammar","char_h2,second_compressor",refuted,none,rota66_external_thesis_attack_not_decipherment
