route11_id,route10_id,manual_review_id,decision_id,crop_id,source_review_id,folio,locus,prefix_family,axis_coverage,group_tokens,missing_group_tokens,missing_token_count,priority_bucket,second_pass_focus,crop_strategy,suggested_action,semantic_guardrail
R11-001,R10-002,R9-002,R8-010,R7-010,R6-010,f70v2,"f70v2.21,@Cc",ot,ao,otar oteedar oteeeor,oteedar oteeeor,2,P0_operator_missing_tokens,locate_missing_group_tokens,rescan_source_image_before_new_crop,open source folio image and search missing tokens before marking any tighter region,no_axis_meaning_from_queue_position
R11-002,R10-001,R9-001,R8-009,R7-009,R6-009,f67r1,"f67r1.5,@Cc",ot,ao,otardar otor,otardar,1,P0_operator_missing_tokens,locate_missing_group_tokens,search_single_missing_token_then_redraw_crop,open source folio image and search missing tokens before marking any tighter region,no_axis_meaning_from_queue_position
R11-003,R10-004,R9-004,R8-005,R7-005,R6-005,f67r1,"f67r1.6,+Cc",ch,ao+rl,chedar cheol cheor chol,chedar cheol cheor,3,P1_core_missing_tokens,locate_missing_group_tokens,rescan_source_image_before_new_crop,open source folio image and search missing tokens before marking any tighter region,no_axis_meaning_from_queue_position
R11-004,R10-005,R9-005,R8-006,R7-006,R6-006,f68r3,"f68r3.1,@Cc",ch,ao+rl,cheor chodal chokol chol,cheor chodal chokol,3,P1_core_missing_tokens,locate_missing_group_tokens,rescan_source_image_before_new_crop,open source folio image and search missing tokens before marking any tighter region,no_axis_meaning_from_queue_position
R11-005,R10-006,R9-006,R8-007,R7-007,R6-007,f70v2,"f70v2.1,@Cc",ch,ao+rl,chokear chol cholkal,chokear cholkal,2,P1_core_missing_tokens,locate_missing_group_tokens,rescan_source_image_before_new_crop,open source folio image and search missing tokens before marking any tighter region,no_axis_meaning_from_queue_position
R11-006,R10-003,R9-003,R8-001,R7-001,R6-001,f67r1,"f67r1.6,+Cc",d,ao+rl,dal dar dol,dol,1,P1_core_missing_tokens,locate_missing_group_tokens,search_single_missing_token_then_redraw_crop,open source folio image and search missing tokens before marking any tighter region,no_axis_meaning_from_queue_position
R11-007,R10-007,R9-007,R8-008,R7-008,R6-008,f70v2,"f70v2.32,@Cc",standalone,rl,al ar,al,1,P2_other_missing_tokens,locate_missing_group_tokens,search_single_missing_token_then_redraw_crop,open source folio image and search missing tokens before marking any tighter region,no_axis_meaning_from_queue_position
R11-008,R10-008,R9-008,R8-011,R7-011,R6-011,f84r,"f84r.23,+P0",standalone,rl,ol or,ol,1,P2_other_missing_tokens,locate_missing_group_tokens,search_single_missing_token_then_redraw_crop,open source folio image and search missing tokens before marking any tighter region,no_axis_meaning_from_queue_position
R11-009,R10-009,R9-009,R8-002,R7-002,R6-002,f67r1,"f67r1.5,@Cc",standalone,ao+rl,ar ol,,0,P3_tighten_existing_region,tighten_existing_matched_tokens,tighten_current_svg_region,open current SVG and mark a smaller region only if the matched tokens are visually clear,no_axis_meaning_from_queue_position
R11-010,R10-010,R9-010,R8-004,R7-004,R6-004,f67r1,"f67r1.6,+Cc",standalone,rl,al ar,,0,P3_tighten_existing_region,tighten_existing_matched_tokens,tighten_current_svg_region,open current SVG and mark a smaller region only if the matched tokens are visually clear,no_axis_meaning_from_queue_position
R11-011,R10-011,R9-011,R8-003,R7-003,R6-003,f84r,"f84r.14,+P0",standalone,rl,ol or,,0,P3_tighten_existing_region,tighten_existing_matched_tokens,tighten_current_svg_region,open current SVG and mark a smaller region only if the matched tokens are visually clear,no_axis_meaning_from_queue_position
