criterion,axis,source_route,established_finding,effect_on_broad,effect_on_hildegard,caps_confirmation,note,semantic_guardrail
designed_combinatorial_morphology,morphology,R43-R55,token is 100% functional: qo-/ok-/ot- operators + ar/al/or/ol matrix,supports,neutral,False,a designed operator system; Hildegard's words are not productively combinatorial,rota71_constructed_language_not_decipherment
syntax_thin_bag_of_words,syntax,R60,compresses like its own bag-of-words; order info ~1-3% vs natural 12-25%,supports,supports,False,order-poor; both a designed system and a glossary lack rich word order,rota71_constructed_language_not_decipherment
not_natural_prose,entropy,R58,"h2=2.15, far below natural prose; not random noise either",supports,supports,False,"constructed, not naturally written language",rota71_constructed_language_not_decipherment
morph_rich_syntax_fine,long_range,R59,I(d) drops to floor at d~15 (token scale); no mid-range syntax,supports,neutral,False,"rich morphology, thin syntax: a generated/designed surface",rota71_constructed_language_not_decipherment
nomenclator_excluded,semantics,R57,nomenclator (label-is-a-name) hypothesis discarded,neutral,weakens,False,Hildegard's Lingua Ignota IS essentially a glossed nomenclator,rota71_constructed_language_not_decipherment
label_object_decoupled,cross_modal,R63-R65,"label<->object decoupled_refined (powered, no confirmation bias)",neutral,weakens,False,Hildegard's invented words label real objects; here they do not,rota71_constructed_language_not_decipherment
no_gloss_no_parallel_key,external,R68,no gloss / no parallel text; documented key/crib (#1) not known,neutral,weakens,False,Hildegard is readable BECAUSE glossed; the Voynich has no such crib,rota71_constructed_language_not_decipherment
lexicon_scale_morphology,lexicon,R59,"thousands of word types, morphology-rich (not a ~1000-item noun list)",neutral,weakens,False,scale and morphology mismatch Hildegard's small noun-dominated glossary,rota71_constructed_language_not_decipherment
serious_deliberate_production,codicology,R68,"blocked p=0.000999, 5 hands, V(hand x Currier)=0.9801, verdict=interleaved_production",supports,supports,False,deliberate constructor + a system shared/taught across scribes,rota71_constructed_language_not_decipherment
contentfree_generator_reproduces_signatures,generative,R62/R67,a local content-free generator reproduces 14/14 statistical signatures,neutral,neutral,True,does not refute a constructed SYSTEM; caps any content reading as unconfirmable by corpus statistics,rota71_constructed_language_not_decipherment
