folio,element_desc,object_type,visual_feature2,label_token,label_locus,annotation_confidence,refinement_note,semantic_guardrail
f99r,top-left red cylindrical jar (lid label),container,red_pigment,okaradag,f99r.1,high,,rota65b_cross_modal_refined_not_decipherment
f99r,2nd red cylindrical jar in left column (body label),container,red_pigment,oparal,f99r.19,high,,rota65b_cross_modal_refined_not_decipherment
f99r,top row plant-part: pale curled root with tendrils,root,tailed,okar.y,f99r.2,high,"elevated: label cleanly above pale curled root, top-row well-spaced",rota65b_cross_modal_refined_not_decipherment
f99r,top row: dark-red leaf/blade form,leaf,red_pigment,darar,f99r.3,high,"elevated: label ""darar"" cleanly above dark-red leaf/blade",rota65b_cross_modal_refined_not_decipherment
f99r,top row: small whole root cluster,root,single,oky,f99r.4,medium,,rota65b_cross_modal_refined_not_decipherment
f99r,top row: bundled twisted stems,stem,multiple,salo,f99r.5,medium,,rota65b_cross_modal_refined_not_decipherment
f99r,top row: orange root with fine hairs,root,tailed,aro,f99r.6,medium,"elevated: label readable above orange tendril, despite being a 2-word label (aro ain)",rota65b_cross_modal_refined_not_decipherment
f99r,top row: cluster of cut stem-segments (3 short cylinders),stem,multiple,okor,f99r.8,medium,,rota65b_cross_modal_refined_not_decipherment
f99r,top row: striped banded root-segment,root,single,ralol,f99r.9,uncertain,"kept uncertain: striped banded element in crowded mid-top-row, label nearest is ambiguous",rota65b_cross_modal_refined_not_decipherment
f99r,top row: orange spray/flower tuft,flower,multiple,skeeal,f99r.10,uncertain,"kept uncertain: orange spray adjacent to other plants, label assignment ambiguous",rota65b_cross_modal_refined_not_decipherment
f99r,top row: hooked orange root,root,single,okary,f99r.11,medium,,rota65b_cross_modal_refined_not_decipherment
f99r,top row: pale fan of fine roots (far right),root,multiple,okolo,f99r.12,medium,"elevated: far-right pale fan of roots well-isolated, label clearly above",rota65b_cross_modal_refined_not_decipherment
f99r,mid row: orange tendril root,root,tailed,otalam,f99r.13,medium,"elevated: mid-row tendril root with label ""olleos"" type clearly above",rota65b_cross_modal_refined_not_decipherment
f99r,mid row: orange branched root,root,single,otoldy,f99r.14,medium,elevated: mid-row branched root with label clearly above,rota65b_cross_modal_refined_not_decipherment
f99r,2nd block top: pale curled root,root,single,oaro,f99r.20,medium,,rota65b_cross_modal_refined_not_decipherment
f99r,2nd block: small root,root,single,aloly,f99r.21,medium,"elevated: block2 small root with label nearby, row well-spaced",rota65b_cross_modal_refined_not_decipherment
f99r,large bottom orange hairy root with green leaves,whole_plant,multiple,aora,f99r.22,medium,,rota65b_cross_modal_refined_not_decipherment
f99v,top-left jar (red w/ blue band) lid label,container,red_pigment,okaramy,f99v.1,high,,rota65b_cross_modal_refined_not_decipherment
f99v,3rd container in left column (red+blue band) body label,container,red_pigment,okoldody,f99v.14,high,,rota65b_cross_modal_refined_not_decipherment
f99v,top row: red-tinged root with fine tendrils,root,red_pigment,otoldy,f99v.2,high,"elevated: top-row red-tinged tendril root, label clearly above with clear spacing",rota65b_cross_modal_refined_not_decipherment
f99v,top row: red tendril root,root,red_pigment,otorchy,f99v.3,high,"elevated: top-row red tendril root, label clearly above",rota65b_cross_modal_refined_not_decipherment
f99v,top row: whole plant green spiky leaf + brown root + red bulb,whole_plant,red_pigment,oldy,f99v.4,medium,,rota65b_cross_modal_refined_not_decipherment
f99v,top row: octopus-like brown root,root,multiple,otaly,f99v.6,medium,,rota65b_cross_modal_refined_not_decipherment
f99v,top row: red-bulb root pair,root,red_pigment,olsy,f99v.7,medium,elevated: label positioned between two elements but vertical alignment with red-bulb pair is plausible,rota65b_cross_modal_refined_not_decipherment
f99v,top row: paired pale roots,root,multiple,arol,f99v.8,medium,"elevated: paired pale roots with label ""oraos"" pattern above; pairing plausible",rota65b_cross_modal_refined_not_decipherment
f99v,top row: red striped leaf/frond (far right),leaf,red_pigment,otoky,f99v.9,medium,,rota65b_cross_modal_refined_not_decipherment
f99v,row3: bulb root with vertical stem,root,single,oeeesary,f99v.15,medium,,rota65b_cross_modal_refined_not_decipherment
f99v,row3: curved red-brown tendril root,root,red_pigment,sary,f99v.17,medium,elevated: row3 red-brown tendril root with label clearly above,rota65b_cross_modal_refined_not_decipherment
f99v,row3: tan fan-shaped frond/leaf,leaf,single,saiino,f99v.18,high,"elevated: tan fan-shaped frond in row3, label cleanly above",rota65b_cross_modal_refined_not_decipherment
f99v,row3: broad red leaf,leaf,red_pigment,otolsar,f99v.19,medium,,rota65b_cross_modal_refined_not_decipherment
f99v,row3: reddish bulb/root with stem,root,red_pigment,osary,f99v.20,medium,elevated: row3 red bulb-stem with label cleanly above,rota65b_cross_modal_refined_not_decipherment
f88v,top-left ornate red/white apothecary jar (upper) lid label,container,red_pigment,okalyd,f88v.1,high,,rota65b_cross_modal_refined_not_decipherment
f88v,2nd ornate red/white apothecary jar (lower-left) label,container,red_pigment,otoram,f88v.11,high,,rota65b_cross_modal_refined_not_decipherment
f88v,3rd container (round red flask in mid-left panel),container,red_pigment,daramdal,f88v.27,high,elevated: 3rd container (round red flask) clearly identifiable in lower panel,rota65b_cross_modal_refined_not_decipherment
